EDADHOM,EDADMUJ,DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOMUJ,CIUOHOM,AÑOOCU
32,27,,1601,10,2023,11,10,16,1601,4,4,320,320,4,3,97,97,2023
43,36,,1220,6,2023,27,5,12,1220,4,4,320,320,4,2,97,43,2023
29,26,,1601,12,2023,26,11,16,1609,1,1,320,320,4,5,97,23,2023
27,22,,1021,9,2023,30,8,10,1021,1,1,320,320,2,2,97,921,2023
27,26,,101,1,2023,17,12,1,103,4,4,320,320,4,4,97,97,2023
33,25,,904,3,2023,10,2,9,904,4,4,320,320,2,2,97,921,2023
20,20,,1217,1,2023,6,1,12,1217,4,4,320,320,9,9,97,921,2023
20,18,,1401,4,2023,29,3,14,1401,1,1,320,320,9,9,97,75,2023
27,29,,1706,8,2023,27,7,17,1706,1,4,320,320,2,4,41,921,2023
22,24,,1302,9,2023,20,9,13,1302,1,9,320,320,3,3,97,921,2023
22,18,,805,4,2023,17,4,8,805,1,4,320,320,4,9,52,541,2023
31,27,,1008,10,2023,25,10,10,1008,1,5,320,320,2,2,97,921,2023
38,34,,1318,11,2023,2,7,13,1318,1,1,320,320,4,4,23,23,2023
34,32,,706,5,2023,31,5,7,706,1,1,320,320,3,3,97,73,2023
48,46,,1217,11,2023,27,10,12,1217,4,4,320,320,2,2,97,921,2023
20,31,,1902,8,2023,4,8,19,1902,4,5,320,320,9,2,97,33,2023
39,44,,1503,4,2023,14,4,15,1503,4,4,320,320,3,2,97,71,2023
28,20,,2008,3,2023,6,3,20,2008,4,9,320,320,1,9,97,52,2023
38,32,,1802,11,2023,31,10,18,1802,4,1,320,320,3,2,97,921,2023
27,23,,1508,12,2023,16,12,15,1508,1,1,320,320,3,2,97,921,2023
33,30,,902,3,2023,12,3,9,902,4,4,320,320,4,4,41,97,2023
25,27,,1709,7,2023,18,7,17,1709,1,1,320,320,2,2,97,310,2023
38,31,,1610,12,2023,16,12,16,1603,1,4,320,320,4,3,97,23,2023
34,29,,1616,5,2023,18,5,16,1616,1,1,320,320,2,2,97,921,2023
27,27,,107,1,2023,9,12,1,107,4,4,320,320,2,4,35,97,2023
23,21,,1609,3,2023,1,2,16,1609,1,1,320,320,2,9,97,97,2023
30,25,,316,12,2023,4,12,3,316,1,1,320,320,4,2,97,71,2023
39,30,,1201,3,2023,5,3,12,1202,4,4,320,320,5,5,23,12,2023
24,21,,411,10,2023,13,10,4,411,9,1,320,320,2,9,97,921,2023
48,47,,117,8,2023,19,8,1,114,4,4,320,320,6,4,43,22,2023
24,22,,601,2,2023,16,12,22,2205,4,4,320,320,5,4,34,97,2023
22,19,,801,4,2023,13,4,8,801,1,1,320,320,4,9,97,97,2023
20,19,,1609,6,2023,3,6,16,1609,9,1,320,320,9,9,97,99,2023
30,25,,601,11,2023,25,10,6,601,4,4,320,320,3,4,35,97,2023
20,18,,1702,5,2023,29,4,5,1702,4,4,320,320,9,9,97,97,2023
32,24,,1105,2,2023,10,2,11,1105,4,4,320,320,1,3,97,921,2023
25,24,,801,11,2023,11,11,8,801,9,1,320,320,4,4,97,75,2023
55,44,,1602,4,2023,15,4,16,1602,1,1,320,320,2,1,97,921,2023
35,26,,906,11,2023,3,11,9,906,1,9,320,320,4,2,97,31,2023
22,23,,1701,7,2023,31,7,17,1701,4,4,320,320,3,4,97,97,2023
29,23,,902,5,2023,13,5,8,801,1,1,320,320,4,3,73,96,2023
25,21,,105,3,2023,15,3,1,105,9,9,320,320,2,9,97,51,2023
23,20,,1506,8,2023,22,7,15,1506,4,4,320,320,2,9,97,921,2023
